backend,device,world_size,size_mb,mean_time_ms
gloo,cpu,2,0.5,0.6487846374511719
gloo,cpu,2,1,0.9128808975219727
gloo,cpu,2,10,10.294640064239502
gloo,cpu,2,50,54.06230688095093
gloo,cpu,2,100,91.9143557548523
gloo,cpu,2,500,451.91155672073364
gloo,cpu,2,1000,905.9902191162109
gloo,cpu,4,0.5,2.244889736175537
gloo,cpu,4,1,3.048771619796753
gloo,cpu,4,10,40.3950035572052
gloo,cpu,4,50,156.4691662788391
gloo,cpu,4,100,272.17472195625305
gloo,cpu,4,500,1253.4566044807434
gloo,cpu,4,1000,2510.8859479427338
gloo,cpu,6,0.5,5.098199844360352
gloo,cpu,6,1,7.6921820640563965
gloo,cpu,6,10,64.50502475102745
gloo,cpu,6,50,250.13315280278525
gloo,cpu,6,100,470.860759417216
gloo,cpu,6,500,2263.411561648051
gloo,cpu,6,1000,4464.9147550265
gloo,cuda,2,0.5,0.6382226943969727
gloo,cuda,2,1,1.3476848602294922
gloo,cuda,2,10,10.695624351501465
gloo,cuda,2,50,53.63929271697998
gloo,cuda,2,100,92.13564395904541
gloo,cuda,2,500,426.06680393218994
gloo,cuda,2,1000,885.7730269432068
gloo,cuda,4,0.5,2.2390782833099365
gloo,cuda,4,1,3.4483134746551514
gloo,cuda,4,10,37.58633732795715
gloo,cuda,4,50,171.08575701713562
gloo,cuda,4,100,282.467919588089
gloo,cuda,4,500,1262.557303905487
gloo,cuda,4,1000,2523.737597465515
gloo,cuda,6,0.5,5.586667855580649
gloo,cuda,6,1,6.987400849660237
gloo,cuda,6,10,69.07991170883179
gloo,cuda,6,50,253.56667041778564
gloo,cuda,6,100,477.4990876515706
gloo,cuda,6,500,2263.065473238627
gloo,cuda,6,1000,4730.706238746643
nccl,cuda,2,0.5,4.810023307800293
nccl,cuda,2,1,2.985835075378418
nccl,cuda,2,10,4.556083679199219
nccl,cuda,2,50,7.321047782897949
nccl,cuda,2,100,15.133607387542725
nccl,cuda,2,500,50.11484622955322
nccl,cuda,2,1000,93.19101572036743
nccl,cuda,4,0.5,11.446231603622437
nccl,cuda,4,1,10.901504755020142
nccl,cuda,4,10,12.135493755340576
nccl,cuda,4,50,14.538156986236572
nccl,cuda,4,100,22.209644317626953
nccl,cuda,4,500,78.53297591209412
nccl,cuda,4,1000,147.39302396774292
nccl,cuda,6,0.5,15.082625548044843
nccl,cuda,6,1,17.560164133707683
nccl,cuda,6,10,20.655572414398193
nccl,cuda,6,50,27.877724170684814
nccl,cuda,6,100,36.873579025268555
nccl,cuda,6,500,117.41636594136558
nccl,cuda,6,1000,198.25930992762247
