Sorted by CPU time:
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          backward_pass        38.95%     454.033ms        38.96%     454.054ms     454.054ms       0.000us         0.00%       1.000us       1.000us             1  
                                       cudaLaunchKernel        32.05%     373.500ms        32.05%     373.500ms      72.146us      36.565ms         5.10%      36.565ms       7.063us          5177  
      autograd::engine::evaluate_function: MulBackward0         0.24%       2.740ms        13.44%     156.664ms     540.221us       0.000us         0.00%      25.467ms      87.817us           290  
                                              aten::mul         0.92%      10.749ms         9.75%     113.642ms      80.483us      39.116ms         5.46%      45.746ms      32.398us          1412  
                                  cudaDeviceSynchronize         9.72%     113.272ms         9.72%     113.272ms      56.636ms       0.000us         0.00%       0.000us       0.000us             2  
                                           forward_pass         1.19%      13.846ms         9.57%     111.488ms     111.488ms       0.000us         0.00%     277.622ms     277.622ms             1  
                                           MulBackward0         0.09%       1.066ms         6.38%      74.305ms     256.224us       0.000us         0.00%      16.852ms      58.110us           290  
                                             aten::add_         0.16%       1.881ms         6.01%      70.079ms      90.776us      10.513ms         1.47%      10.975ms      14.216us           772  
                                               aten::mm         1.88%      21.937ms         4.94%      57.549ms      66.377us     524.368ms        73.16%     562.667ms     648.982us           867  
       autograd::engine::evaluate_function: MmBackward0         0.14%       1.657ms         4.56%      53.110ms     183.772us       0.000us         0.00%     366.569ms       1.268ms           289  
                                            MmBackward0         0.24%       2.756ms         4.39%      51.195ms     177.145us       0.000us         0.00%     359.960ms       1.246ms           289  
                                         optimizer_step         0.03%     292.000us         4.33%      50.488ms      50.488ms       0.000us         0.00%      69.811ms      69.811ms             1  
                              Optimizer.step#AdamW.step         0.47%       5.514ms         4.27%      49.749ms      49.749ms       0.000us         0.00%      69.811ms      69.811ms             1  
                                              aten::sum         0.47%       5.533ms         3.50%      40.816ms     120.047us       5.736ms         0.80%       7.550ms      22.206us           340  
                                              aten::bmm         0.47%       5.527ms         3.24%      37.783ms     131.191us      12.482ms         1.74%      16.653ms      57.823us           288  
      autograd::engine::evaluate_function: ErfBackward0         0.03%     307.000us         3.15%      36.729ms     765.188us       0.000us         0.00%      16.055ms     334.479us            48  
                                              aten::div         0.41%       4.783ms         3.15%      36.677ms      76.093us      15.341ms         2.14%      20.810ms      43.174us           482  
                                           ErfBackward0         0.04%     496.000us         3.12%      36.422ms     758.792us       0.000us         0.00%      16.055ms     334.479us            48  
                                    cudaLaunchKernelExC         3.11%      36.303ms         3.11%      36.303ms      35.908us       8.310ms         1.16%       8.930ms       8.833us          1011  
                                              aten::neg         0.07%     843.000us         2.98%      34.675ms     240.799us       5.145ms         0.72%       5.206ms      36.153us           144  
